Timestamp,Air_Temp_C,Humidity_Pct,pH,EC_mS_cm,DO_mg_L,N_ppm,P_ppm,K_ppm
2024-01-05 03:00:00,19.36,70.98,6.02,1.59,8.54,130.62,43.94,175.31
2024-01-05 04:00:00,20.1,74.58,6.06,1.59,8.69,130.32,43.91,175.07
2024-01-05 05:00:00,20.77,71.79,6.13,1.58,8.41,130.18,43.82,174.68
2024-01-05 06:00:00,22.67,65.85,6.07,1.58,8.32,129.92,43.77,174.31
2024-01-05 07:00:00,22.77,61.52,6.09,1.58,8.13,129.73,43.69,174.12
2024-01-05 08:00:00,23.42,62.51,6.11,1.58,8.05,129.44,43.63,173.93
2024-01-05 09:00:00,24.43,56.53,6.06,1.58,8.22,129.33,43.61,173.59
2024-01-05 10:00:00,25.56,56.16,6.2,1.57,8.07,129.04,43.51,173.34
2024-01-05 11:00:00,26.6,54.93,6.1,1.57,7.79,128.9,43.45,173.02
2024-01-05 12:00:00,26.48,52.62,6.12,1.57,7.78,128.65,43.36,172.64
2024-01-05 13:00:00,25.54,55.92,6.07,1.56,7.95,128.44,43.29,172.33
2024-01-05 14:00:00,25.76,53.52,6.16,1.56,7.97,128.22,43.23,172.01
2024-01-05 15:00:00,25.83,60.63,6.05,1.56,7.96,128.05,43.13,171.87
2024-01-05 16:00:00,23.81,60.46,6.14,1.56,8.08,127.94,43.09,171.73
2024-01-05 17:00:00,23.63,61.97,6.09,1.56,8.09,127.78,43.01,171.6
2024-01-05 18:00:00,22.06,69.52,6.14,1.55,8.32,127.68,42.92,171.37
2024-01-05 19:00:00,21.53,67.61,6.14,1.55,8.25,127.55,42.82,171.02
2024-01-05 20:00:00,19.48,69.06,6.11,1.55,8.61,127.34,42.74,170.66
2024-01-05 21:00:00,19.83,72.44,6.13,1.55,8.48,127.11,42.7,170.33
2024-01-05 22:00:00,18.63,72.2,6.15,1.54,8.61,127.0,42.62,170.16
2024-01-05 23:00:00,18.01,77.9,6.09,1.54,8.79,126.8,42.6,170.05
2024-01-06 00:00:00,17.73,76.3,6.09,1.54,8.76,126.66,42.54,169.68
2024-01-06 01:00:00,18.11,71.3,6.08,1.54,8.62,126.37,42.49,169.48
2024-01-06 02:00:00,18.28,72.77,6.19,1.54,8.56,126.08,42.44,169.22
2024-01-06 03:00:00,20.19,72.52,6.11,1.53,8.49,125.88,42.41,168.92
2024-01-06 04:00:00,19.94,70.6,6.13,1.53,8.44,125.66,42.34,168.79
2024-01-06 05:00:00,21.14,69.94,6.08,1.53,8.24,125.42,42.31,168.64
2024-01-06 06:00:00,22.18,63.8,6.04,1.53,8.13,125.29,42.23,168.33
2024-01-06 07:00:00,23.87,61.41,6.07,1.52,8.01,125.16,42.21,168.11
2024-01-06 08:00:00,23.49,59.72,6.15,1.52,8.17,124.93,42.15,167.84
2024-01-06 09:00:00,25.07,58.42,6.11,1.52,8.11,124.8,42.1,167.57
2024-01-06 10:00:00,24.59,56.02,6.16,1.52,7.94,124.57,42.04,167.43
2024-01-06 11:00:00,25.63,57.06,6.17,1.52,7.86,124.34,41.95,167.18
2024-01-06 12:00:00,25.54,55.84,6.21,1.51,8.1,124.07,41.88,166.8
2024-01-06 13:00:00,25.74,56.8,6.14,1.51,7.95,123.8,41.79,166.66
2024-01-06 14:00:00,24.56,58.02,6.11,1.51,8.13,123.59,41.72,166.38
2024-01-06 15:00:00,24.25,54.23,6.15,1.51,8.08,123.43,41.65,166.07
2024-01-06 16:00:00,23.69,60.69,6.12,1.5,8.19,123.2,41.61,165.88
2024-01-06 17:00:00,22.47,63.0,6.23,1.5,8.18,122.99,41.52,165.48
2024-01-06 18:00:00,21.88,66.69,6.23,1.5,8.3,122.84,41.44,165.26
2024-01-06 19:00:00,20.42,64.95,6.13,1.5,8.34,122.69,41.37,165.13
2024-01-06 20:00:00,19.5,72.14,6.09,1.49,8.47,122.43,41.27,164.86
2024-01-06 21:00:00,18.74,67.6,6.19,1.49,8.53,122.17,41.18,164.47
2024-01-06 22:00:00,18.67,70.2,6.18,1.49,8.56,122.05,41.12,164.25
2024-01-06 23:00:00,17.94,76.6,6.16,1.49,8.64,121.91,41.06,163.94
2024-01-07 00:00:00,18.52,73.67,6.03,1.48,8.49,121.66,41.0,163.78
2024-01-07 01:00:00,17.37,75.54,6.15,1.48,8.74,121.52,40.93,163.4
2024-01-07 02:00:00,19.62,69.93,6.13,1.48,8.39,121.38,40.89,163.09
2024-01-07 03:00:00,18.77,73.09,6.19,1.48,8.53,121.12,40.85,162.81
2024-01-07 04:00:00,19.65,71.75,6.2,1.47,8.49,120.88,40.78,162.63
2024-01-07 05:00:00,20.71,68.91,6.08,1.47,8.27,120.62,40.72,162.42
2024-01-07 06:00:00,21.26,63.47,6.12,1.47,8.24,120.35,40.69,162.16
2024-01-07 07:00:00,23.76,63.51,6.06,1.47,8.09,120.09,40.62,161.87
2024-01-07 08:00:00,24.3,62.17,6.19,1.46,8.17,119.95,40.56,161.69
2024-01-07 09:00:00,24.43,59.22,6.11,1.46,8.22,119.69,40.54,161.37
2024-01-07 10:00:00,25.81,54.81,6.2,1.46,7.8,119.58,40.48,161.17
2024-01-07 11:00:00,24.82,52.91,6.12,1.46,8.12,119.35,40.44,160.97
2024-01-07 12:00:00,25.87,52.76,6.1,1.46,7.89,119.07,40.39,160.67
2024-01-07 13:00:00,25.34,55.51,6.16,1.45,7.82,118.82,40.31,160.52
2024-01-07 14:00:00,25.08,53.89,6.25,1.45,8.12,118.59,40.22,160.18
2024-01-07 15:00:00,25.82,56.31,6.15,1.45,8.01,118.38,40.12,159.97
2024-01-07 16:00:00,24.22,62.4,6.15,1.45,8.01,118.09,40.09,159.78
2024-01-07 17:00:00,22.73,66.27,6.15,1.44,8.3,117.82,39.99,159.55
2024-01-07 18:00:00,21.62,66.55,6.19,1.44,8.22,117.54,39.94,159.43
2024-01-07 19:00:00,21.85,68.79,6.17,1.44,8.36,117.26,39.84,159.22
2024-01-07 20:00:00,19.42,70.09,6.2,1.44,8.51,117.04,39.76,159.07
2024-01-07 21:00:00,19.48,69.43,6.14,1.43,8.51,116.84,39.7,158.84
2024-01-07 22:00:00,18.78,71.69,6.22,1.43,8.6,116.64,39.63,158.56
2024-01-07 23:00:00,17.48,73.94,6.16,1.43,8.78,116.51,39.61,158.4
2024-01-08 00:00:00,18.16,72.24,6.02,1.82,8.83,149.86,49.97,199.73
2024-01-08 01:00:00,18.43,75.64,5.93,1.81,8.61,149.6,49.89,199.48
2024-01-08 02:00:00,18.53,76.58,6.04,1.81,8.62,149.39,49.81,199.29
2024-01-08 03:00:00,18.18,73.22,6.09,1.81,8.54,149.11,49.75,199.13
2024-01-08 04:00:00,20.99,68.85,5.97,1.81,8.34,148.95,49.69,198.91
2024-01-08 05:00:00,21.11,66.83,6.02,1.8,8.52,148.69,49.6,198.53
2024-01-08 06:00:00,21.7,67.23,6.02,1.8,8.38,148.42,49.52,198.35
2024-01-08 07:00:00,23.27,62.4,6.04,1.8,8.18,148.19,49.44,197.97
2024-01-08 08:00:00,23.98,60.25,6.11,1.8,8.24,147.94,49.34,197.83
2024-01-08 09:00:00,24.88,59.34,6.04,1.79,7.92,147.75,49.26,197.51
2024-01-08 10:00:00,25.25,54.06,6.0,1.79,7.87,147.53,49.17,197.3
2024-01-08 11:00:00,27.06,55.13,6.01,1.79,7.96,147.38,49.08,197.12
2024-01-08 12:00:00,25.02,58.11,6.04,1.79,8.18,147.28,48.99,196.87
2024-01-08 13:00:00,25.09,57.06,6.03,1.78,7.93,147.05,48.9,196.6
2024-01-08 14:00:00,25.8,57.47,6.0,1.78,7.93,146.86,48.88,196.28
2024-01-08 15:00:00,24.34,59.55,5.99,1.78,8.01,146.62,48.78,195.97
2024-01-08 16:00:00,24.19,59.89,6.01,1.78,8.06,146.42,48.71,195.72
2024-01-08 17:00:00,22.69,63.49,6.01,1.77,8.37,146.12,48.66,195.56
2024-01-08 18:00:00,21.4,65.04,5.98,1.77,8.55,146.0,48.61,195.42
2024-01-08 19:00:00,20.64,67.3,6.04,1.77,8.38,145.82,48.53,195.27
2024-01-08 20:00:00,20.13,66.75,6.09,1.77,8.45,145.58,48.48,195.17
2024-01-08 21:00:00,19.28,69.91,6.01,1.77,8.55,145.47,48.45,194.98
2024-01-08 22:00:00,19.52,73.76,6.01,1.77,8.51,145.37,48.39,194.58
2024-01-08 23:00:00,18.32,73.6,5.95,1.76,8.72,145.15,48.29,194.34
2024-01-09 00:00:00,16.7,73.49,6.07,1.76,9.01,144.98,48.19,193.96
2024-01-09 01:00:00,18.48,74.82,5.96,1.76,8.61,144.87,48.1,193.69
2024-01-09 02:00:00,18.55,72.07,6.0,1.75,8.62,144.73,48.01,193.29
2024-01-09 03:00:00,18.5,72.42,6.06,1.75,8.78,144.6,47.98,193.12
2024-01-09 04:00:00,19.96,69.87,6.08,1.75,8.48,144.36,47.88,192.88
2024-01-09 05:00:00,20.3,66.61,6.05,1.75,8.53,144.15,47.79,192.52
2024-01-09 06:00:00,21.79,65.43,5.89,1.74,8.45,143.96,47.72,192.16
2024-01-09 07:00:00,23.94,64.34,6.04,1.74,8.19,143.74,47.63,191.79
2024-01-09 08:00:00,23.99,58.35,5.99,1.74,8.12,143.46,47.55,191.59
2024-01-09 09:00:00,24.05,60.03,6.03,1.74,8.12,143.36,47.5,191.27
2024-01-09 10:00:00,25.76,56.91,5.92,1.73,7.9,143.19,47.45,191.04
2024-01-09 11:00:00,25.54,52.07,6.02,1.73,7.98,143.05,47.36,190.81
2024-01-09 12:00:00,25.85,54.5,6.04,1.73,7.98,142.91,47.31,190.64
2024-01-09 13:00:00,25.25,55.91,6.02,1.73,7.99,142.73,47.28,190.42
2024-01-09 14:00:00,25.59,56.54,6.14,1.73,7.98,142.43,47.21,190.14
2024-01-09 15:00:00,24.39,59.34,6.04,1.72,8.17,142.16,47.17,190.03
2024-01-09 16:00:00,25.14,60.26,6.08,1.72,8.21,142.0,47.13,189.65
2024-01-09 17:00:00,22.77,64.11,6.04,1.72,8.21,141.76,47.1,189.29
2024-01-09 18:00:00,21.59,62.2,6.11,1.72,8.39,141.46,47.06,189.09
2024-01-09 19:00:00,21.24,68.17,6.08,1.71,8.46,141.25,47.02,188.9
2024-01-09 20:00:00,19.84,68.04,6.08,1.71,8.43,141.01,46.98,188.71
2024-01-09 21:00:00,19.73,75.51,6.06,1.71,8.6,140.78,46.9,188.51
2024-01-09 22:00:00,19.04,71.75,6.1,1.71,8.58,140.6,46.87,188.4
2024-01-09 23:00:00,18.35,75.92,6.01,1.71,8.76,140.47,46.84,188.29
2024-01-10 00:00:00,17.8,73.92,6.04,1.7,8.73,140.2,46.75,188.08
2024-01-10 01:00:00,18.36,73.46,6.06,1.7,8.73,139.92,46.7,187.88
2024-01-10 02:00:00,19.27,75.64,6.01,1.7,8.53,139.69,46.66,187.78
2024-01-10 03:00:00,19.9,69.33,6.05,1.7,8.39,139.39,46.62,187.46
2024-01-10 04:00:00,20.43,67.78,6.04,1.7,8.57,139.28,46.55,187.08
2024-01-10 05:00:00,20.74,69.53,5.96,1.69,8.44,138.99,46.5,186.75
2024-01-10 06:00:00,21.38,64.37,6.0,1.69,8.33,138.85,46.45,186.46
2024-01-10 07:00:00,22.36,63.71,6.06,1.69,8.28,138.7,46.4,186.24
2024-01-10 08:00:00,24.0,63.49,5.96,1.69,8.31,138.53,46.38,185.87
2024-01-10 09:00:00,24.99,61.0,6.03,1.68,7.98,138.41,46.34,185.48
2024-01-10 10:00:00,25.87,56.23,6.07,1.68,7.98,138.13,46.29,185.09
2024-01-10 11:00:00,25.81,55.62,6.02,1.68,7.9,137.91,46.26,184.96
2024-01-10 12:00:00,25.53,57.32,6.1,1.68,7.81,137.74,46.18,184.63
2024-01-10 13:00:00,26.31,56.29,6.06,1.67,7.91,137.62,46.1,184.44
2024-01-10 14:00:00,25.89,54.24,6.12,1.67,7.8,137.36,46.03,184.15
2024-01-10 15:00:00,25.13,56.69,6.1,1.67,8.06,137.18,46.0,183.78
2024-01-10 16:00:00,23.56,60.25,6.05,1.66,8.28,136.98,45.92,183.4
2024-01-10 17:00:00,22.91,61.24,6.05,1.66,8.19,136.84,45.84,183.22
2024-01-10 18:00:00,21.94,65.68,6.1,1.66,8.39,136.68,45.78,182.95
2024-01-10 19:00:00,21.2,66.1,6.05,1.66,8.29,136.47,45.71,182.56
2024-01-10 20:00:00,20.28,68.84,6.01,1.66,8.53,136.21,45.62,182.44
2024-01-10 21:00:00,18.59,69.74,6.13,1.65,8.77,135.98,45.57,182.31
2024-01-10 22:00:00,17.4,75.85,6.02,1.65,8.77,135.79,45.54,182.03
2024-01-10 23:00:00,18.02,73.69,6.03,1.65,8.6,135.59,45.5,181.69
2024-01-11 00:00:00,17.61,75.03,6.0,1.65,8.73,135.4,45.42,181.46
2024-01-11 01:00:00,18.49,73.9,6.03,1.64,8.58,135.22,45.39,181.07
2024-01-11 02:00:00,18.39,71.68,6.01,1.64,8.7,135.11,45.36,180.81
2024-01-11 03:00:00,19.48,70.1,6.03,1.64,8.59,134.86,45.26,180.43
2024-01-11 04:00:00,19.66,69.64,6.09,1.64,8.35,134.67,45.24,180.3
2024-01-11 05:00:00,20.33,67.38,6.15,1.63,8.44,134.41,45.15,180.1
2024-01-11 06:00:00,22.56,66.37,6.14,1.63,8.23,134.22,45.1,179.73
2024-01-11 07:00:00,23.4,62.89,6.09,1.63,8.15,134.0,45.07,179.51
2024-01-11 08:00:00,24.22,63.26,6.08,1.63,7.97,133.84,45.05,179.15
2024-01-11 09:00:00,25.4,59.65,6.04,1.63,7.9,133.69,45.01,178.98
2024-01-11 10:00:00,25.05,56.86,6.02,1.62,8.06,133.41,44.96,178.75
2024-01-11 11:00:00,26.47,53.61,6.14,1.62,7.92,133.16,44.89,178.65
2024-01-11 12:00:00,26.39,54.7,6.06,1.62,7.67,132.92,44.85,178.26
2024-01-11 13:00:00,25.94,54.22,6.08,1.62,7.89,132.73,44.78,178.14
2024-01-11 14:00:00,25.82,55.98,6.02,1.61,7.9,132.46,44.68,177.77
2024-01-11 15:00:00,25.2,57.3,6.08,1.61,7.99,132.25,44.61,177.38
2024-01-11 16:00:00,24.36,58.68,6.14,1.61,7.98,132.03,44.55,177.18
2024-01-11 17:00:00,23.23,63.94,6.12,1.61,8.1,131.82,44.51,176.83
2024-01-11 18:00:00,22.1,62.13,6.07,1.6,8.46,131.72,44.43,176.54
2024-01-11 19:00:00,20.21,68.74,6.19,1.6,8.38,131.52,44.4,176.36
2024-01-11 20:00:00,20.73,67.7,6.17,1.6,8.68,131.32,44.38,176.19
2024-01-11 21:00:00,18.45,67.84,6.14,1.6,8.85,131.15,44.33,175.99
2024-01-11 22:00:00,18.44,76.12,6.13,1.6,8.75,131.02,44.29,175.7
2024-01-11 23:00:00,18.14,82.47,6.07,1.59,8.72,130.76,44.25,175.39
2024-01-12 00:00:00,17.88,77.67,6.1,1.59,8.74,130.55,44.19,175.22
2024-01-12 01:00:00,17.98,74.94,6.19,1.59,8.68,130.37,44.1,175.02
2024-01-12 02:00:00,18.12,71.23,6.07,1.59,8.67,130.25,44.0,174.87
2024-01-12 03:00:00,18.66,70.98,6.11,1.59,8.75,130.1,43.94,174.69
2024-01-12 04:00:00,20.56,68.7,6.05,1.58,8.39,129.89,43.86,174.42
2024-01-12 05:00:00,20.82,67.28,6.06,1.58,8.37,129.75,43.76,174.06
2024-01-12 06:00:00,22.41,65.53,6.1,1.58,8.05,129.63,43.74,173.84
2024-01-12 07:00:00,22.74,60.99,6.04,1.58,8.33,129.47,43.71,173.57
2024-01-12 08:00:00,23.0,60.62,6.08,1.57,8.23,129.36,43.68,173.2
2024-01-12 09:00:00,24.21,59.91,6.1,1.57,7.91,129.2,43.61,172.83
2024-01-12 10:00:00,25.48,54.37,6.15,1.57,8.07,129.09,43.53,172.62
2024-01-12 11:00:00,26.02,52.31,6.08,1.57,7.84,128.95,43.45,172.42
2024-01-12 12:00:00,26.14,53.88,6.17,1.57,7.87,128.79,43.43,172.13
2024-01-12 13:00:00,25.33,56.43,6.11,1.56,8.08,128.67,43.4,171.93
2024-01-12 14:00:00,25.95,56.64,6.06,1.56,7.91,128.39,43.36,171.66
2024-01-12 15:00:00,25.31,56.33,6.13,1.56,7.77,128.09,43.31,171.49
2024-01-12 16:00:00,23.62,57.84,6.0,1.56,8.17,127.95,43.26,171.38
2024-01-12 17:00:00,23.75,61.92,6.14,1.56,8.24,127.77,43.22,171.16
2024-01-12 18:00:00,22.24,65.84,6.03,1.55,8.48,127.64,43.17,170.89
2024-01-12 19:00:00,21.02,66.65,6.11,1.55,8.6,127.39,43.11,170.5
2024-01-12 20:00:00,19.77,67.69,6.14,1.55,8.68,127.26,43.08,170.35
2024-01-12 21:00:00,19.24,73.21,6.15,1.55,8.67,127.0,43.03,170.08
2024-01-12 22:00:00,18.22,74.34,6.22,1.54,8.65,126.88,42.94,169.8
2024-01-12 23:00:00,17.02,71.02,6.06,1.54,8.66,126.72,42.85,169.5
2024-01-13 00:00:00,18.22,73.32,6.15,1.54,8.62,126.52,42.8,169.3
2024-01-13 01:00:00,17.23,72.53,6.1,1.54,8.82,126.35,42.71,168.92
2024-01-13 02:00:00,18.13,74.14,6.14,1.53,8.77,126.22,42.68,168.59
2024-01-13 03:00:00,19.92,73.3,6.08,1.53,8.49,126.08,42.64,168.45
2024-01-13 04:00:00,20.02,66.18,6.1,1.53,8.38,125.95,42.6,168.22
2024-01-13 05:00:00,21.07,69.51,6.16,1.53,8.34,125.71,42.54,167.87
2024-01-13 06:00:00,21.74,64.0,6.08,1.53,8.37,125.54,42.52,167.49
2024-01-13 07:00:00,23.16,63.42,6.11,1.52,8.09,125.33,42.47,167.28
2024-01-13 08:00:00,24.56,55.96,6.1,1.52,8.14,125.12,42.41,166.93
2024-01-13 09:00:00,25.71,63.49,6.07,1.52,7.87,124.84,42.36,166.82
2024-01-13 10:00:00,25.68,57.45,6.06,1.52,7.97,124.65,42.33,166.53
2024-01-13 11:00:00,25.84,52.72,6.14,1.51,7.91,124.54,42.26,166.4
2024-01-13 12:00:00,25.41,54.84,6.16,1.51,7.91,124.34,42.22,166.04
2024-01-13 13:00:00,25.41,57.0,6.25,1.51,8.04,124.13,42.18,165.65
2024-01-13 14:00:00,25.3,57.07,6.04,1.51,7.97,123.94,42.09,165.43
2024-01-13 15:00:00,24.52,55.81,6.05,1.5,8.01,123.76,42.01,165.26
2024-01-13 16:00:00,23.69,62.3,6.14,1.5,8.25,123.53,41.97,165.02
2024-01-13 17:00:00,22.45,63.74,6.17,1.5,8.26,123.31,41.93,164.86
2024-01-13 18:00:00,21.71,64.25,6.1,1.5,8.23,123.1,41.85,164.48
2024-01-13 19:00:00,19.96,66.72,6.12,1.5,8.68,122.92,41.77,164.24
